Pathology,test,train,validation
A-line,0.52,0.5471698113207547,0.49382716049382713
Large Consolidations,0.98,0.9433962264150944,0.9259259259259259
Other Pathology,0.35,0.3113207547169811,0.24691358024691357
Pleural Effusion,1.0,0.9968553459119497,1.0
