Split,accuracy,precision,recall,specificity,f1,auc,auprc,loss
test,0.62,0.0,0.0,1.0,0.0,0.5163412563667232,0.39079705077104165,1.356847710609436
validation,0.6172839506172839,0.0,0.0,1.0,0.0,0.46258064516129027,0.43376331628122394,1.4125808315512576
train,0.6163522012578616,0.0,0.0,1.0,0.0,0.5380980260956841,0.39716884032601346,1.4127806590038277
